IATA_CD,CARR_NAME,CARGO_IND
X7,Challenge Airlines,N
9B,Accesrail Inc.,N
GZ,Air Rarotonga,N
8T,Air Tindi Ltd,N
J5,Alaska Seaplanes,N
2V,Amtrak,N
EV,"ExpressJet Airlines, Inc.",N
2A,Deutsche Bahn AG,N
9F,Eurostar International,N
HR,Hahn Air,N
2O,Island Air Service,N
QJ,Jet Airways Inc.,N
4X,Mercury World Cargo,N
HI,Papillon Airways,N
P1,PublicCharters.com,N
2E,Smokey Bay Air,N
CR,Prevalidate Test carrier Do not use,N
X4,"Air Excursions, LLC",N
Y6,AB Aviation,N
Q9,Green Africa Airways Limited,N
GD,Aviair,N
SH,Sharp Airlines,N
D3,Daallo Airlines,N
XB,Forward Air,N
1X,Branson AirExpress,N
4T,Rise Air,N
HS,Heli Securite Helicopter Airline,N
L3,"DHL de Guatemala, S.A.",N
5I,Alsa Grupo Slu,N
DG,Cebgo,N
H1,Hahn Air Systems,N
9T,ACT Airlines Inc,N
3X,Premier Trans Aire,N
BU,Compagnie Africaine d'Aviation,N
CB,Trans Caribbean Air,N
NP,Nile Air,N
GC,Global Feeder Services,N
6V,AVANZA,N
QM,Monacair,N
BS,US-Bangla Airlines,N
V6,VI Airlink,N
UK,Vistara,N
4R,Renfe Viajeros,N
FC,Link Airways,N
W1,World Ticket Ltd,N
FP,Flypelican,N
S2,Serve Air S.A.R.L.,N
3G,World Cargo Airlines,N
E6,Bringer Air Cargo Taxi Aereo,N
3A,Chu Kong Passenger Transport Co Ltd.,N
MC,Air Mobility Command,N
ZR,Aviacon Zitotrans Air Company,N
YD,Synergy Aviation,N
RH,Hong Kong Air Cargo Carrier Limited,N
AO,Air Juan,N
K2,Yute Commuter Service,N
A4,AZIMUTH Airlines,N
FO,Flybondi,N
4P,Regional Sky,N
RR,Buzz,N
R0,Tantalus Air,N
VV,Viva Air Peru,N
HC,Air Senegal,N
YH,Sunsplash Aviation LLC,N
TZ,Tsaradia,N
HT,"Tianjin Air Cargo Co., Ltd",N
7C8,Cargolux Italia S.p.A.,Y
QD,JC (Cambodia) International Airlines,N
7T,Trenitalia S.p.A.,N
1L,CitizenPlane,N
ZU,Ethiopian Mozambique Airlines,N
ZB,Air Albania,N
2H,Thalys International,N
8S,TurboJET,N
EX,Regional Express Americas SAS,N
HG,Hibernian Airlines,N
LE,Norwegian Air Sweden AB,N
X1,Hahn Air Technologies,N
WC,Meregrass,N
JA,Jetsmart,N
VG,Vipper BV,N
RK,Ryanair UK Ltd,N
NN,China Travel Tours Transp Services,N
H8,Sky Airlines Peru S.A.C,N
LZ,Air Link,N
LL,China General Aviation LTD,N
S8,Sounds Air,N
A1,A.P.G. Distribution Systems,N
9A,Gran Colombia de Aviacion,N
YB,Harbour Air Seaplanes,N
JK,Aerolinea Del Caribe S.A.,N
I9,China Central Airlines CO. Ltd.,N
YF,Department of National Defence,N
8A,Panama Airways,N
HK,Skippers Aviation,N
ZN,Zambia Airways,N
DU,Sky Jet M.G. Inc,N
3Q,Royal Air Charters,N
L5,RED AIR SRL,N
JN,Alaska Air Transit,N
L8,Lulutai Airlines Limited,N
L4,The Landline Company,N
WM,WINAIR,N
EA,Atlantis-Air Link Ltd.,N
GW,Costa Rica Green Airways,N
S9,flybig,N
TI,Tropic Ocean Airways,N
CO,North-Western Cargo International,N
0C,Cobra Aviation (Pty) Ltd,N
RD,Sky Cana,N
EG,Aer Lingus UK Limited,N
I6,Intermodalidad de Levante S.A.,N
RI,PT Rimbun Abadi Aviasi,N
EQ,Fly Angola,N
MW,Waltzing Matilda Aviation LLC,N
BD,Air Inter Transport Co. Ltd,N
KR,Cambodia Airways Co. Ltd,N
WE,Thai Smile Airways,N
IL,PT Trigana Air,N
VJ,Vietjet,N
ZK,Aircompany ZetAvia,N
GQ,Sky Express S.A.,N
V7,Volotea,N
7I,Air Libya,N
TV,Tibet Airlines,N
AP,Alba Star,N
C4,Conquest Air Inc.,N
PF,Air Sial,N
F0,Fly Jordan,N
H7,HiSky,N
XR,Corendon Airlines Europe,N
XO,SEAIR International,N
SI,Blue Islands,N
XC,Corendon Airlines,N
CE,Chalair,N
CT,Alitalia CityLiner S.p.A.,N
D0,DHL Air,N
ZX,Pivot Airlines,N
TB,TUI fly Belgium,N
4L,Lineas Aereas Suramericanas,N
YC,Yamal Airlines,N
LM,Loganair,N
7PE,Pacific Air Express,Y
NI,Portugalia,N
7P,Air Panama,N
2Z,Passaredo,N
FA,Safair,N
7O,Travel Service Hungary,N
VI,Volga-Dnepr Airlines,N
ZQ,German Airways GmbH & Co.KG,N
WI,White Airways S.A.,N
WU,Western Air,N
DB,Maleth-Aero,N
6N,Niger Airlines,N
P9,Asia Pacific Airlines,N
K8,InterJet West,N
VB,VivaAerobus,N
V4,Vieques Air Link,N
5R,RUTACA,N
Y9,Enerjet,N
AA,American Airlines,N
OZ,Asiana Airlines,N
8U,Afriqiyah Airways,N
G4,Allegiant Air LLC,N
GB,"ABX Air, Inc.",N
G9,Air Arabia,N
AC,Air Canada,N
78V,Astral Aviation,Y
HD,AirDo,N
UX,Air Europa,N
A3,Aegean Airlines,N
7KO,Alaska Central Express Inc,Y
FG,Ariana Afghan Airlines,N
SU,Aeroflot Russian Airlines,N
AF,Air France,N
LD,AHK Air Hong Kong,N
J2,Azerbaijan Airlines,N
AI,Air India,N
3H,Air Inuit,N
5A,Alpine Aviation Inc.,N
FD,Thai AirAsia,N
IZ,Arkia - Israeli Airlines,N
M6,"Amerijet International, Inc.",N
NQ,Air Japan,N
EH,"ANA Wings Co., Ltd",N
UL,SriLankan Airlines,N
KM,Air Malta,N
NX,Air Macau,N
AM,Aeromexico,N
NH,All Nippon Airways,N
PX,Air Niugini,N
TL,Airnorth Regional,N
OY,Andes Lineas Aereas,N
4N,Air North,N
NZ,Air New Zealand,N
W3,Arik Air,N
AR,Aerolineas Argentinas,N
AS,Alaska Airlines,N
4D,Air Sinai,N
YV,Mesa Airlines,N
TC,Air Tanzania,N
OS,Austrian Airlines AG dba Austrian,N
PS,Ukraine International Airlines,N
5N,Smartavia,N
GR,Aurigny Air Services,N
AV,Avianca,N
NF,Air Vanuatu,N
ZW,Air Wisconsin,N
QZ,Indonesia AirAsia,N
7E,Sylt Air,N
IX,Air India Express,N
XU,African Express Airways,N
AK,AirAsia,N
NS,Hebei Airlines,N
AZ,Alitalia - Societa Aerea Italiana S.p.A,N
Z8,Amaszonas,N
UM,Air Zimbabwe,N
BA,British Airways,N
BG,Biman Bangladesh Airlines,N
WX,City Jet,N
7BZ,Blue Dart Aviation Limited,Y
UP,Bahamasair,N
PG,Bangkok Airways,N
JV,Perimeter Aviation LP dba Bearskin A/L,N
CH,Bemidji Airlines,N
BP,Air Botswana,N
BV,Blue Panorama Airlines,N
8E,Bering Air,N
UZ,Buraq Air,N
B2,Belavia,N
BT,Air Baltic Corporation,N
J8,Berjaya Air,N
BW,Caribbean Airlines,N
CI,China Airlines,N
MO,Calm Air Intl Ltd,N
MN,Comair,N
KX,Cayman Airways,N
CA,Air China,N
SC,Shandong Airlines,N
5J,Cebu Pacific Air,N
C2,CEIBA Intercontinental,N
MU,China Eastern Airlines,N
DE,Condor Flugdienst,N
HU,Hainan Airlines,N
NA,Nesma Airlines Company Ltd,N
W8,Cargojet Airways Ltd.,N
CK,China Cargo Airlines,N
RP,BASe Airlines,N
K4,Kalitta Air,N
CL,Lufthansa Cityline Gmbh,N
CV,Cargolux Airlines International,N
CM,COPA Airlines,N
OH,"PSA Airlines, Inc.",N
77C,Coyne Airways,Y
77C,Coyne Airways,Y
CX,Cathay Pacific Airways,N
9Q,Caicos Express Airways,N
9C,Spring Airlines,N
HX,Hong Kong Airlines,N
SS,Corsair,N
YN,Air Creebec (1994) Inc.,N
OK,Czech Airlines,N
3U,Sichuan Airlines,N
FM,Shanghai Airlines,N
ZH,Shenzhen Airlines,N
OU,Croatia Airlines,N
KN,China United Airlines,N
CU,Cubana de Aviacion S.A,N
3C,Air Chathams,N
MF,Xiamen Airlines Company,N
XP,Avelo Airways,N
CF,China Postal Airlines,N
D5,Dhl Aero Expreso S.A.,N
AH,Air Algerie,N
DL,Delta Air Lines,N
SN,Brussels Airlines,N
JD,Beijing Capital Airlines,N
EM,Empire Airlines,N
HO,Juneyao Airlines,N
EN,Air Dolomiti S.p.A L.A.R.E,N
Q2,Maldivian,N
KB,Royal Bhutan Airlines,N
DT,TAAG Angola Airlines,N
DX,DAT,N
WK,Edelweiss Air,N
MQ,Envoy Air Inc,N
EI,Aer Lingus,N
LY,El Al Israel Airlines,N
B8,Eritrean Airlines,N
EY,Etihad Airways,N
ET,Ethiopian Airlines,N
BR,EVA Airways,N
EW,Eurowings,N
LS,Jet2.com,N
B5,East African Safari Air Express,N
T3,Eastern Airways,N
DS,easyjet Switzerland SA,N
U2,easyJet,N
7F,First Air,N
FY,Firefly,N
F9,Frontier Airlines Inc.,N
5H,Five Forty Aviation,N
AY,Finnair,N
FJ,Fiji Airways,N
5M,FlyMontserrat,N
9E,Endeavor Air,N
RC,Atlantic Airways Faroe Islands,N
5O,ASL Airlines France,N
TX,Air Caraibes,N
3M,SILVER AIRWAYS LLC,N
2P,PAL Express,N
GS,TianJin Airlines,N
CN,Grand China Air,N
GF,Gulf Air,N
GA,Garuda Indonesia,N
G7,GoJet Airlines,N
2K,AVIANCA-Ecuador,N
9M,Central Mountain Air Ltd.,N
G8,Go Air,N
GL,Air Greenland,N
5Y,Atlas Air,N
GU,Aviateca,N
GV,"Grant Aviation, Inc.",N
3S,Air Antilles,N
4U,germanwings,N
4G,Gazpromavia,N
H6,Hageland Aviation Services Inc,N
HA,Hawaiian Airlines,N
UO,HK Express,N
X3,TUIfly,N
VN,Vietnam Airlines,N
G5,China Express Airlines,N
V8,Iliamna Air Taxi,N
NT,Binter Canarias,N
IB,Iberia,N
FW,IBEX Airlines,N
FI,Icelandair,N
75C,C.A.L. Cargo Airlines,Y
6E,IndiGo,N
IR,Iran Air,N
B9,Iran Airtour Airlines,N
EP,Iran Aseman Airlines,N
W5,Mahan Air,N
6H,Israir,N
JY,Intercaribbean Airways Ltd,N
IY,Yemenia Yemen Airways,N
JL,Japan Airlines,N
3Z,Smartwings Poland Sp. z o.o.,N
B6,Jetblue Airways Corporation,N
7C,Jeju Airlines,N
T6,AirSWIFT,N
3K,Jetstar Asia,N
JQ,Jetstar Airways,N
NU,Japan Transocean Air,N
QK,Air Canada Jazz,N
J9,Jazeera Airways,N
KU,Kuwait Airways,N
KE,Korean Air,N
9K,Cape Air,N
M5,Kenmore Air,N
RE,Stobart Air,N
WA,KLM Cityhopper,N
KL,KLM-Royal Dutch Airlines,N
RQ,Kam Air,N
8K,K-Mile Air Co,N
JS,Air Koryo,N
KQ,Kenya Airways,N
V3,Carpatair,N
KC,Air Astana,N
LN,Libyan Airlines,N
TM,LAM-Linhas Aereas de Mocambique,N
LA,LATAM Airlines Group,N
QV,Lao Airlines,N
PZ,LATAM Airlines Paraguay,N
BJ,Nouvelair,N
UC,LATAM Cargo Chile,N
QL,LASER Airlines,N
LG,Luxair,N
0B,Blue Air,N
4Z,South African Airlink,N
AX,Trans States Airlines,N
LO,LOT - Polish Airlines,N
LP,LATAM Airlines Peru,N
LR,Avianca Costa Rica S.A.,N
RZ,SANSA Airlines,N
YX,Republic Airways,N
L2,Lynden Air Cargo,N
MH,Malaysia Airlines,N
MK,Air Mauritius,N
YO,Heli Air Monaco,N
AE,Mandarin Airlines,N
MD,Air Madagascar,N
ME,Middle East Airlines,N
OM,MIAT - Mongolian Airlines,N
Q5,40 Mile Air,N
9U,Air Moldova,N
8M,Myanmar Airways International,N
MB,MNG Airlines Cargo,N
JE,Mango,N
SG,SpiceJet,N
5T,Canadian North,N
MP,Martinair Holland,N
M9,Motor Sich PJSC,N
MS,Egyptair,N
NC,"Northern Air Cargo, Inc.",N
DY,Norwegian Air Shuttle,N
KZ,Nippon Cargo Airlines,N
NK,Spirit Airlines,N
DD,Nok Air,N
9R,Satena,N
S0,AeroLineas Sosa,N
HW,North-Wright Airways Ltd.,N
2L,Helvetic Airways,N
BK,Okay Airways,N
PO,Polar Air Cargo,N
PR,Philippine Airlines,N
OL,Samoa Airways,N
8P,Pacific Coastal Airlines Limited,N
P0,Proflight Zambia,N
PC,Pegasus Airlines,N
PK,Pakistan International Airlines,N
BL,Pacific Airlines,N
FV,Rossiya Airlines,N
EB,Wamos Air S.A.,N
J3,Northwestern Air Lease Ltd.,N
PD,Porter Airlines Inc.,N
PW,Precision Air Services Plc,N
QF,Qantas Airways,N
QR,Qatar Airways,N
QX,Horizon Air,N
AT,Royal Air Maroc,N
BI,Royal Brunei Airlines,N
3N,Air Urga,N
UU,Air Austral,N
RJ,Royal Jordanian,N
A5,HOP!,N
RA,Nepal Airlines Corporation,N
9V,Avior Airlines,N
ON,Nauru Airlines,N
RO,Tarom,N
P5,Aero Republica,N
WB,RwandAir,N
7S,Ryan Air,N
FR,Ryanair,N
S4,SATA International-Azores Airlines S.A.,N
SA,South African Airways,N
SK,SAS Scandinavian Airlines,N
SP,SATA Air Acores,N
S7,S7 Airlines,N
BB,Seaborne Airlines,N
PV,Saint Barth Commuter,N
TF,Braathens Regional Aviation,N
SY,Sun Country Airlines,N
HM,Air Seychelles,N
7G,Star Flyer,N
HZ,JSC Aurora Airlines,N
SQ,Singapore Airlines,N
SJ,Sriwijaya Air,N
OO,SkyWest Airlines,N
BC,Skymark Airlines,N
MI,SilkAir,N
PY,Surinam Airways,N
PL,Southern Air Charter,N
IE,Solomon Airlines Limited,N
PJ,Air Saint-Pierre,N
2I,Star Peru,N
D2,Severstal Aircompany,N
8F,STP Airways,N
SD,Sudan Airways,N
EZ,Sun Air Of Scandinavia,N
SV,Saudi Arabian Airlines,N
U6,Ural Airlines,N
WN,Southwest Airlines,N
WG,Sunwing Airlines Inc.,N
LX,SWISS,N
XQ,SunExpress,N
R3,Yakutia,N
RB,Syrian Arab Airlines,N
TA,Taca International Airlines,N
JJ,LATAM Airlines Brasil,N
B4,ZanAir,N
VW,Transportes Aeromar S.A. de C.V.,N
TP,TAP Air Portugal,N
TU,Tunisair,N
3V,ASL Airlines Belgium,N
VR,TACV Cabo Verde Airlines,N
OR,TUI fly Netherlands,N
TR,Scoot,N
A9,Georgian Airways,N
TG,Thai Airways International,N
TN,Air Tahiti Nui,N
TK,Turkish Airlines,N
7J,Tajik Air,N
T7,Twin Jet,N
76R,Aerounion,Y
Z3,Tanana Air Service,N
CG,PNG Air Limited,N
TY,Air Caledonie,N
K3,Taquan Air,N
HV,transavia.com,N
TS,Air Transat A.T.Inc.,N
TH,Raya Airways,N
T5,Turkmenistan Airlines,N
QS,Smartwings,N
EK,Emirates,N
UA,United Airlines,N
C5,CommutAir,N
EU,Chengdu Airlines,N
B7,UNI Airways,N
5X,United Parcel Service Co.,N
UT,UTair Aviation,N
HY,Uzbekistan Airways,N
2J,Air Burkina,N
V0,Conviasa,N
7V4,"Vensecar Internacional, C.A.",Y
0V,Vietnam Air Service Company,N
VS,Virgin Atlantic Airways,N
VY,Vueling Airlines,N
Y4,Volaris,N
DV,Air Company Scat,N
VT,Air Tahiti,N
5V,Everts Air,N
4W,Warbelow's Air Ventures Inc.,N
WF,Wideroe's Flyveselskap,N
WS,WestJet,N
IW,Wings Air,N
8V,Wright Air Service,N
W6,Wizz Air,N
P2,AirKenya Express,N
Y8,Suparna Airlines Co,N
P8,Sprintair,N
5D,Aeromexico Connect,N
NY,Air Iceland Connect,N
LH,Deutsche Lufthansa AG,N
IN,NAM Air,N
A7,Calafia Airlines,N
P4,Air Peace,N
IU,PT. Super Air Jet,N
2F,Two Taxi Aereo Ltda,N
9H,Changan Airlines,N
LT,LongJiang Airlines,N
OQ,Chongqing Airlines,N
GT,Air Guilin Co. Ltd,N
6J,Solaseed,N
8Z,Congo Airways,N
P6,Pascan Aviation Inc.,N
RY,Jiangxi Air,N
IT,Tigerair Taiwan Co. Ltd,N
MX,Breeze Airways,N
FE,Fly 748,N
OG,Fly Play,N
FL,Air Leap,N
XK,Air Corsica,N
5L,Transportes Aereos Costarricenses,N
7B,Bees Airline,N
BX,Air Busan,N
0J,Premium Jet AG,N
6O,Orbest,N
M7,Mas Air,N
N7,Nordic Regional Airlines,N
YT,Yeti Airlines,N
TJ,Tradewind Aviation,N
5S,Global Aviation and Service Group,N
D9,Daallo Airlines(Somalia),N
FS,Flyr,N
HJ,Tasman Cargo Airlines Pty Ltd,N
H4,HiSky Europe SRL,N
4S,Solar Cargo,N
W2,FlexFlight ApS,N
UB,Myanmar National Airlines,N
YK,Avia Traffic Company,N
OX,"One Airways, S.A.U",N
X9,Avion Express,N
KO,Komiaviatrans,N
IM,LLP Air Company Jupiter Jet,N
KH,Aloha Air Cargo,N
JH,Fuji Dream Airlines,N
FN,Fastjet Zimbabwe,N
ND,Nordica,N
QT,Tampa Cargo S.A.S,N
D7,AirAsia X,N
BO,Bluebird Cargo,N
LJ,Jin Air,N
KY,Kunming Airlines,N
3O,Air Arabia Maroc,N
2M,Maya Island Air,N
SZ,Somon Air,N
PP,Jet Aviation Business Jets AG,N
UJ,Al Masria Universal Airlines,N
3T,Tarco Aviation,N
QQ,Alliance Airlines,N
PN,West Air,N
LU,LanExpress,N
FZ,flydubai,N
Y7,NordStar,N
XY,FLYNAS,N
R6,DAT LT,N
VA,Virgin Australia International,N
FX,Fedex,N
PA,Airblue,N
YQ,TAR Aerolineas,N
6L,CargoLogic Germany GmbH,N
8H,BH Air Ltd,N
E5,Air Arabia Egypt,N
O3,SF Airlines,N
M0,Aero Mongolia,N
7ZP,Silk Way Airlines,Y
L6,Mauritanian Airlines International,N
7R,Joint Stock Aviation Company RusLine,N
U8,TUS Airways,N
G2,Gullivair,N
XE,JSX,N
L7,LATAM Cargo Colombia,N
8L,Lucky Air Co. Ltd.,N
J4,Badr Airlines,N
F8,Flair Airlines,N
J6,Seawings,N
2Q,Air Cargo Carriers,N
F2,SafariLink,N
H2,Sky Airline,N
CJ,BA Cityflyer,N
CZ,China Southern Airlines,N
6D,Smartwings Slovakia s.r.o,N
PE,People's,N
I8,Izhavia,N
IK,Air Kiribati,N
AW,Africa World Airlines Limited,N
8Q,Onur Air Tasimacilik A.S.,N
TE,SkyTaxi,N
K7,Air KBZ,N
NE,Nesma Airlines,N
Q3,Anguilla Air Services,N
2G,Angara Airlines,N
QB,Faraz Qeshm Airline,N
ES,Estelar Latinoamerica C.A.,N
MM,Peach Aviation Limited,N
IO,IrAero,N
3J,Jubba Airways Ltd,N
