PORT_IATA,PORT_NAME,PORT_TYPE_DESC,LAT_DEC,LONG_DEC,LAT,LONG,CITY_CODE,CITY_NAME,COUNTRY_CODE,ACTIVE
RUL,Maavarulu,Airport,0.33805,73.51277,00.20.17N,073.30.46E,RUL,Maavarulu,MV,Y
TFU,Tianfu International,Airport,30.31632,104.44266,30.18.59N,104.26.34E,TFU,Chengdu,CN,Y
TJX,San Diego CBX Station,Bus Station,32.54819,-116.97441,32.32.54N,116.58.28W,TJX,San Diego CBX Station,US,N
ZZC,Cherchell off-line point,Off Point,36.59572,2.25244,36.35.45N,002.15.09E,ZZC,Cherchell off-line point,DZ,N
CQW,Chongqing Xiannvshan,Airport,29.46416,107.69333,29.27.51N,107.41.36E,CQW,Wulong,CN,Y
YLX,Yulin,Airport,22.4327,110.11967,22.25.58N,110.07.11E,YLX,Yulin,CN,Y
LFH,Fenghua,Airport,26.6451,99.54404,26.38.43N,099.32.39E,LFH,Lanping,CN,N
LCT,Luancheng,Airport,37.91314,114.59347,37.54.48N,114.35.37E,LCT,Shijiazhuang,CN,N
JAE,Aeropuerto de Shumba,Airport,-5.59361,-78.77361,05.35.37S,078.46.25W,JAE,Jaen,PE,Y
GGM,Kakamega,Airport,0.27122,34.78737,00.16.17N,034.47.15E,GGM,Kakamega,KE,N
CDT,Castellon,Airport,40.21391,0.07306,40.12.51N,000.04.24E,CDT,Castellon de la Plana,ES,Y
MHZ,Mildenhall,Airport,52.35,0.5,52.21.00N,000.30.00E,MHZ,Mildenhall,GB,N
SXB,Strasbourg International,Airport,48.54194,7.63444,48.32.31N,007.38.04E,SXB,Strasbourg,FR,Y
HYD,Hyderabad Rajiv Gandhi Intl Arpt,Airport,17.23106,78.43125,17.13.52N,078.25.53E,HYD,Hyderabad,IN,Y
BPM,Hyderabad Begumpet Airport,Airport,17.4531,78.46349,17.27.12N,078.27.49E,HYD,Hyderabad,IN,Y
CQF,Calais/Dunkerque,Airport,50.96213,1.95503,50.57.44N,001.57.19E,CQF,Calais/Dunkerque,FR,N
XER,Strasbourg Bus Station,Bus Station,48.58508,7.73544,48.35.07N,007.44.08E,XER,Strasbourg Bus Station,FR,Y
TLS,Blagnac,Airport,43.63499,1.36777,43.38.06N,001.22.04E,TLS,Toulouse,FR,Y
AAO,Anaco,Airport,9.41666,-64.46666,09.25.00N,064.28.00W,AAO,Anaco,VE,N
AIS,Arorae,Airport,-2.61631,176.8025,02.36.59S,176.48.09E,AIS,Arorae,KI,Y
AMP,Ampanihy,Airport,-24.7,44.73333,24.42.00S,044.44.00E,AMP,Ampanihy,MG,N
ARP,Aragip,Airport,-9.9,149.46666,09.54.00S,149.28.00E,ARP,Aragip,PG,N
AZB,Amazon Bay,Airport,-10.3,149.33333,10.18.00S,149.20.00E,AZB,Amazon Bay,PG,N
BEZ,Beru,Airport,-1.35444,176.0066,01.21.16S,176.00.24E,BEZ,Beru,KI,Y
BXV,Breiddalsvik,Airport,64.79,-14.02277,64.47.24N,014.01.22W,BXV,Breiddalsvik,IS,N
BYA,Boundary,Airport,64.08333,-141.11666,64.05.00N,141.07.00W,BYA,Boundary,US,N
CEM,Central,Airport,65.57358,-144.77904,65.34.25N,144.46.45W,CEM,Central,US,Y
CIK,Chalkyitsik,Airport,66.64401,-143.74261,66.38.39N,143.44.34W,CIK,Chalkyitsik,US,Y
CLP,Clarks Point,Airport,58.83338,-158.52942,58.50.01N,158.31.46W,CLP,Clarks Point,US,Y
CPN,Cape Rodney,Airport,-10.18333,148.36666,10.11.00S,148.22.00E,CPN,Cape Rodney,PG,N
CVL,Cape Vogel,Airport,-9.7,150.05,09.42.00S,150.03.00E,CVL,Cape Vogel,PG,N
CXA,Caicara de Orinoco,Airport,7.53333,-66.15,07.32.00N,066.09.00W,CXA,Caicara de Orinoco,VE,N
DNM,Denham,Airport,-25.91666,113.53333,25.55.00S,113.32.00E,DNM,Denham,AU,N
ELI,Elim,Airport,64.61539,-162.27009,64.36.56N,162.16.13W,ELI,Elim,US,Y
FFM,Fergus Falls Municipal,Airport,46.28333,-96.16666,46.17.00N,096.10.00W,FFM,Fergus Falls,US,Y
GLV,Golovin,Airport,64.548,-163.01186,64.32.53N,163.00.43W,GLV,Golovin,US,Y
HCR,Holy Cross,Airport,62.19022,-159.77244,62.11.25N,159.46.21W,HCR,Holy Cross,US,Y
HNH,Hoonah,Airport,58.09582,-135.41273,58.05.45N,135.24.46W,HNH,Hoonah,US,Y
IHO,Ihosy,Airport,-22.40138,46.13333,22.24.05S,046.08.00E,IHO,Ihosy,MG,N
IOK,Iokea,Airport,-8.4,146.26666,08.24.00S,146.16.00E,IOK,Iokea,PG,N
KBC,Birch Creek,Airport,66.27212,-145.81879,66.16.20N,145.49.08W,KBC,Birch Creek,US,Y
KBY,Streaky Bay,Airport,-32.8,134.23333,32.48.00S,134.14.00E,KBY,Streaky Bay,AU,N
